Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
NEW YORK LIBERTY,28,17,11,40.5,80.3,19.7,64.4,13.6,14.6,12.5,21.0,27.9,50.8,64.8,35.2,92.5,7.5,68.4,31.6,Regular,1997
CHARLOTTE STING,28,15,13,40.0,80.6,19.4,64.6,14.5,17.5,14.4,17.9,22.9,50.1,64.0,36.0,86.4,13.6,67.5,32.5,Regular,1997
PHOENIX MERCURY,28,16,12,40.1,75.6,24.4,54.3,11.9,20.6,14.6,25.1,29.3,42.3,61.2,38.8,87.0,13.0,66.4,33.6,Regular,1997
UTAH STARZZ,28,7,21,40.4,80.4,19.6,62.0,13.8,17.6,13.3,20.4,22.8,48.2,59.9,40.1,84.0,16.0,63.7,36.3,Regular,1997
CLEVELAND ROCKERS,28,15,13,40.5,89.2,10.8,67.2,17.0,9.9,11.0,22.9,23.9,50.2,60.5,39.5,87.7,12.3,62.9,37.1,Regular,1997
LOS ANGELES SPARKS,28,14,14,40.5,86.1,13.9,70.0,15.5,10.7,16.1,19.3,24.2,54.4,58.2,41.8,75.7,24.3,59.8,40.2,Regular,1997
SACRAMENTO MONARCHS,28,10,18,40.4,80.1,19.9,63.2,17.7,16.7,9.6,20.1,21.6,45.5,52.2,47.8,72.0,28.0,55.2,44.8,Regular,1997
HOUSTON COMETS,28,18,10,40.4,71.0,29.0,52.8,10.7,25.2,10.6,22.0,27.1,42.1,46.0,54.0,82.8,17.2,54.9,45.1,Regular,1997
CLEVELAND ROCKERS,30,20,10,40.5,83.7,16.3,63.5,16.9,14.5,12.9,22.0,26.3,46.6,68.5,31.5,91.5,8.5,71.6,28.4,Regular,1998
PHOENIX MERCURY,30,19,11,40.5,78.2,21.8,59.3,11.1,17.6,11.3,23.1,27.1,48.2,63.6,36.4,96.2,3.8,69.0,31.0,Regular,1998
NEW YORK LIBERTY,30,18,12,40.3,84.2,15.8,64.7,14.8,13.4,13.1,21.9,25.7,50.0,65.0,35.0,87.0,13.0,67.7,32.3,Regular,1998
CHARLOTTE STING,30,18,12,40.0,79.7,20.3,64.7,14.7,14.7,18.1,20.6,25.7,49.9,60.6,39.4,87.6,12.4,64.2,35.8,Regular,1998
SACRAMENTO MONARCHS,29,7,22,40.2,84.3,15.7,69.7,16.1,11.6,10.8,18.7,23.6,53.6,60.0,40.0,91.5,8.5,63.2,36.8,Regular,1998
UTAH STARZZ,30,8,22,40.3,81.2,18.8,63.5,12.9,16.2,14.1,20.3,20.2,50.6,58.1,41.9,84.1,15.9,61.9,38.1,Regular,1998
LOS ANGELES SPARKS,30,12,18,40.2,82.5,17.5,63.9,15.3,15.5,12.6,20.6,20.9,48.6,55.7,44.3,81.1,18.9,59.2,40.8,Regular,1998
DETROIT SHOCK,30,17,13,40.0,84.0,16.0,64.6,20.2,13.9,11.5,21.5,21.0,44.4,53.0,47.0,77.3,22.7,56.0,44.0,Regular,1998
WASHINGTON MYSTICS,29,3,26,40.2,76.3,23.7,61.5,14.1,17.8,11.8,20.7,25.3,47.4,52.6,47.4,66.1,33.9,54.8,45.2,Regular,1998
HOUSTON COMETS,30,27,3,40.5,71.3,28.7,54.1,8.3,23.2,17.2,22.7,28.0,45.8,45.8,54.2,81.9,18.1,53.8,46.2,Regular,1998
CHARLOTTE STING,32,15,17,40.2,79.6,20.4,65.1,18.2,15.4,13.0,19.5,19.0,47.0,67.9,32.1,95.4,4.6,71.6,28.4,Regular,1999
MINNESOTA LYNX,32,15,17,40.5,68.6,31.4,53.9,20.6,29.5,7.8,16.7,23.1,33.2,61.7,38.3,93.5,6.5,70.2,29.8,Regular,1999
PHOENIX MERCURY,32,15,17,39.9,76.0,24.0,57.9,16.5,18.6,7.4,23.6,20.6,41.3,63.5,36.5,84.3,15.7,67.1,32.9,Regular,1999
LOS ANGELES SPARKS,32,20,12,40.4,76.7,23.3,59.3,15.4,20.0,12.2,20.6,22.1,43.9,60.9,39.1,85.3,14.7,65.4,34.6,Regular,1999
UTAH STARZZ,32,15,17,40.6,81.4,18.6,62.4,14.2,13.6,10.2,24.1,21.6,48.2,61.1,38.9,94.4,5.6,65.3,34.7,Regular,1999
NEW YORK LIBERTY,32,18,14,39.7,75.6,24.4,57.7,16.6,24.1,13.0,18.2,26.9,41.1,58.4,41.6,87.7,12.3,64.8,35.2,Regular,1999
CLEVELAND ROCKERS,32,7,25,38.8,83.3,16.7,67.6,18.8,13.2,10.2,19.2,21.5,48.9,60.5,39.5,90.7,9.3,63.9,36.1,Regular,1999
WASHINGTON MYSTICS,32,12,20,40.5,80.8,19.2,62.8,15.5,14.3,10.6,23.0,19.2,47.2,56.6,43.4,88.0,12.0,60.7,39.3,Regular,1999
HOUSTON COMETS,32,26,6,40.2,71.4,28.6,56.2,15.4,22.3,13.9,21.5,23.0,40.8,52.3,47.7,85.8,14.2,59.3,40.7,Regular,1999
SACRAMENTO MONARCHS,32,19,13,40.0,79.0,21.0,60.5,7.2,15.8,17.3,23.7,24.6,53.3,54.4,45.6,84.9,15.1,58.9,41.1,Regular,1999
ORLANDO MIRACLE,32,15,17,40.3,75.3,24.7,57.8,11.0,21.1,10.6,21.1,23.8,46.9,53.4,46.6,81.3,18.7,58.9,41.1,Regular,1999
DETROIT SHOCK,32,15,17,40.5,83.1,16.9,60.0,19.3,16.0,9.9,24.0,24.5,40.7,55.0,45.0,78.2,21.8,58.5,41.5,Regular,1999
LOS ANGELES SPARKS,32,28,4,40.3,76.9,23.1,58.8,16.4,18.6,13.6,22.5,20.2,42.4,65.3,34.7,81.3,18.7,68.1,31.9,Regular,2000
CHARLOTTE STING,32,8,24,40.5,79.7,20.3,62.3,14.2,18.0,14.0,19.7,19.9,48.1,63.4,36.6,90.8,9.2,67.9,32.1,Regular,2000
CLEVELAND ROCKERS,32,17,15,39.3,78.2,21.8,61.8,16.2,18.5,11.7,19.7,24.7,45.6,62.1,37.9,87.8,12.2,66.4,33.6,Regular,2000
SACRAMENTO MONARCHS,32,21,11,40.0,77.0,23.0,62.7,12.4,18.2,14.6,19.2,23.1,50.3,61.0,39.0,83.8,16.2,64.7,35.3,Regular,2000
MINNESOTA LYNX,32,15,17,40.2,68.8,31.2,51.6,14.1,27.9,5.7,20.4,23.6,37.5,57.1,42.9,84.3,15.7,64.3,35.7,Regular,2000
MIAMI SOL,32,13,19,40.5,82.5,17.5,61.4,22.0,13.9,9.9,24.7,25.9,39.4,60.7,39.3,87.1,12.9,64.1,35.9,Regular,2000
PORTLAND FIRE,32,10,22,40.8,76.3,23.7,57.2,11.8,20.2,12.1,22.6,23.1,45.4,56.8,43.2,89.7,10.3,63.1,36.9,Regular,2000
INDIANA FEVER,32,9,23,40.2,71.7,28.3,54.5,10.6,26.2,9.7,19.3,22.8,43.9,55.2,44.8,87.0,13.0,62.9,37.1,Regular,2000
WASHINGTON MYSTICS,32,14,18,40.0,81.5,18.5,66.5,17.7,15.0,12.5,18.5,22.1,48.7,58.5,41.5,89.9,10.1,62.6,37.4,Regular,2000
UTAH STARZZ,32,18,14,40.0,86.2,13.8,63.8,15.2,10.9,11.3,25.2,18.6,48.7,58.1,41.9,85.2,14.8,60.8,39.2,Regular,2000
NEW YORK LIBERTY,32,20,12,40.2,78.2,21.8,61.2,18.3,18.9,11.1,20.0,23.8,42.8,55.7,44.3,82.2,17.8,60.2,39.8,Regular,2000
SEATTLE STORM,32,6,26,40.5,79.1,20.9,61.3,14.7,17.9,7.0,20.8,26.5,46.5,52.5,47.5,89.0,11.0,58.5,41.5,Regular,2000
DETROIT SHOCK,32,14,18,40.2,86.2,13.8,68.0,17.4,9.8,15.9,22.3,24.8,50.5,55.2,44.8,86.8,13.2,57.9,42.1,Regular,2000
PHOENIX MERCURY,32,20,12,40.1,78.2,21.8,60.7,17.4,16.4,12.3,23.0,26.4,43.2,52.7,47.3,85.2,14.8,57.6,42.4,Regular,2000
ORLANDO MIRACLE,32,16,16,39.4,77.6,22.4,62.4,19.8,19.9,11.0,17.6,22.4,42.6,53.4,46.6,73.2,26.8,56.9,43.1,Regular,2000
HOUSTON COMETS,32,27,5,40.5,74.1,25.9,58.1,12.9,20.8,13.0,21.1,23.2,45.2,48.4,51.6,84.9,15.1,55.4,44.6,Regular,2000
